true_label,prediction,count
top_up_by_bank_transfer_charge,extra_charge_on_statement,3
exchange_charge,extra_charge_on_statement,3
exchange_charge,fiat_currency_support,3
card_payment_not_recognised,terminate_account,3
card_swallowed,card_arrival,3
cash_withdrawal_not_recognised,wrong_amount_of_cash_received,3
card_swallowed,atm_support,3
cash_withdrawal_not_recognised,compromised_card,3
cash_withdrawal_not_recognised,cash_withdrawal_charge,3
top_up_reverted,cancel_transfer,3
cash_withdrawal_not_recognised,cancel_transfer,3
card_payment_not_recognised,card_not_working,3
top_up_limits,age_limit,3
cash_withdrawal_not_recognised,exchange_via_app,3
top_up_failed,declined_card_payment,3
top_up_by_bank_transfer_charge,card_payment_fee_charged,3
card_payment_fee_charged,transfer_fee_charged,3
card_swallowed,lost_or_stolen_card,3
wrong_amount_of_cash_received,card_payment_wrong_exchange_rate,3
card_about_to_expire,card_acceptance,3
getting_spare_card,card_not_working,3
transfer_not_received_by_recipient,card_arrival,3
unable_to_verify_identity,why_verify_identity,3
getting_spare_card,order_physical_card,3
get_disposable_virtual_card,getting_virtual_card,3
virtual_card_not_working,activate_my_card,3
get_physical_card,unable_to_verify_identity,3
age_limit,cash_withdrawal_not_recognised,3
fiat_currency_support,exchange_via_app,3
Refund_not_showing_up,transfer_into_account,3
transaction_charged_twice,reverted_card_payment?,3
topping_up_by_card,receiving_money,3
topping_up_by_card,card_payment_not_recognised,3
top_up_reverted,balance_not_updated_after_bank_transfer,3
country_support,activate_my_card,3
card_linking,card_not_working,3
lost_or_stolen_phone,passcode_forgotten,3
pending_top_up,card_not_working,3
pending_top_up,pending_transfer,3
pending_cash_withdrawal,pending_card_payment,3
country_support,exchange_via_app,3
card_acceptance,card_linking,3
top_up_reverted,reverted_card_payment?,3
card_arrival,card_linking,3
transaction_charged_twice,card_payment_wrong_exchange_rate,3
top_up_reverted,pending_top_up,3
cash_withdrawal_charge,card_payment_wrong_exchange_rate,3
supported_cards_and_currencies,activate_my_card,3
reverted_card_payment?,declined_card_payment,3
pending_top_up,top_up_failed,3
supported_cards_and_currencies,card_linking,3
wrong_exchange_rate_for_cash_withdrawal,cash_withdrawal_charge,3
top_up_limits,balance_not_updated_after_bank_transfer,2
top_up_by_cash_or_cheque,transfer_into_account,2
card_payment_not_recognised,reverted_card_payment?,2
card_swallowed,card_acceptance,2
change_pin,passcode_forgotten,2
card_payment_not_recognised,card_acceptance,2
cash_withdrawal_charge,card_payment_fee_charged,2
top_up_by_cash_or_cheque,activate_my_card,2
top_up_by_card_charge,transfer_fee_charged,2
top_up_by_card_charge,activate_my_card,2
top_up_by_card_charge,top_up_by_bank_transfer_charge,2
top_up_failed,pending_top_up,2
top_up_failed,passcode_forgotten,2
top_up_failed,card_payment_not_recognised,2
top_up_failed,card_acceptance,2
terminate_account,transfer_into_account,2
disposable_card_limits,card_payment_not_recognised,2
extra_charge_on_statement,transfer_fee_charged,2
extra_charge_on_statement,request_refund,2
wrong_exchange_rate_for_cash_withdrawal,card_swallowed,2
visa_or_mastercard,pending_card_payment,2
visa_or_mastercard,card_payment_not_recognised,2
