true_label,prediction,count
top_up_by_cash_or_cheque,balance_not_updated_after_cheque_or_cash_deposit,2
card_swallowed,lost_or_stolen_card,2
card_swallowed,declined_cash_withdrawal,2
card_swallowed,declined_card_payment,2
card_swallowed,activate_my_card,2
transaction_charged_twice,card_payment_fee_charged,2
topping_up_by_card,top_up_failed,2
top_up_failed,verify_top_up,2
transfer_not_received_by_recipient,pending_cash_withdrawal,2
transfer_not_received_by_recipient,balance_not_updated_after_bank_transfer,2
transfer_into_account,top_up_by_bank_transfer_charge,2
transfer_into_account,receiving_money,2
transfer_into_account,automatic_top_up,2
card_payment_not_recognised,extra_charge_on_statement,2
card_payment_not_recognised,compromised_card,2
card_payment_not_recognised,card_swallowed,2
card_payment_fee_charged,transfer_fee_charged,2
card_payment_fee_charged,extra_charge_on_statement,2
card_payment_fee_charged,direct_debit_payment_not_recognised,2
card_payment_fee_charged,card_payment_not_recognised,2
lost_or_stolen_card,card_not_working,2
contactless_not_working,card_payment_not_recognised,2
country_support,exchange_via_app,2
getting_spare_card,card_about_to_expire,2
getting_spare_card,card_acceptance,2
getting_spare_card,get_physical_card,2
getting_spare_card,contactless_not_working,2
passcode_forgotten,pin_blocked,2
cancel_transfer,request_refund,2
order_physical_card,card_acceptance,2
beneficiary_not_allowed,edit_personal_details,2
compromised_card,card_swallowed,2
lost_or_stolen_phone,terminate_account,2
cash_withdrawal_not_recognised,wrong_amount_of_cash_received,2
cash_withdrawal_not_recognised,compromised_card,2
cash_withdrawal_charge,wrong_exchange_rate_for_cash_withdrawal,2
card_acceptance,card_payment_not_recognised,2
extra_charge_on_statement,card_payment_fee_charged,2
country_support,get_physical_card,2
country_support,visa_or_mastercard,2
declined_card_payment,card_not_working,2
declined_cash_withdrawal,declined_transfer,2
card_about_to_expire,order_physical_card,2
disposable_card_limits,getting_spare_card,2
exchange_rate,lost_or_stolen_phone,2
direct_debit_payment_not_recognised,card_payment_not_recognised,2
direct_debit_payment_not_recognised,declined_card_payment,2
disposable_card_limits,activate_my_card,2
wrong_exchange_rate_for_cash_withdrawal,exchange_via_app,2
automatic_top_up,top_up_by_card_charge,2
visa_or_mastercard,activate_my_card,2
visa_or_mastercard,order_physical_card,2
visa_or_mastercard,get_physical_card,2
atm_support,receiving_money,1
activate_my_card,card_linking,1
activate_my_card,declined_transfer,1
activate_my_card,get_physical_card,1
activate_my_card,lost_or_stolen_card,1
age_limit,activate_my_card,1
age_limit,edit_personal_details,1
wrong_exchange_rate_for_cash_withdrawal,exchange_charge,1
wrong_exchange_rate_for_cash_withdrawal,cash_withdrawal_not_recognised,1
wrong_exchange_rate_for_cash_withdrawal,card_payment_wrong_exchange_rate,1
wrong_amount_of_cash_received,verify_source_of_funds,1
wrong_amount_of_cash_received,receiving_money,1
wrong_amount_of_cash_received,pending_cash_withdrawal,1
why_verify_identity,change_pin,1
why_verify_identity,activate_my_card,1
unable_to_verify_identity,edit_personal_details,1
unable_to_verify_identity,card_not_working,1
transfer_timing,transfer_not_received_by_recipient,1
transfer_timing,pending_top_up,1
transfer_timing,balance_not_updated_after_cheque_or_cash_deposit,1
transfer_not_received_by_recipient,verify_source_of_funds,1
transfer_not_received_by_recipient,declined_transfer,1
transfer_not_received_by_recipient,card_payment_not_recognised,1
exchange_rate,exchange_via_app,1
exchange_rate,exchange_charge,1
exchange_charge,top_up_by_cash_or_cheque,1
exchange_charge,receiving_money,1
exchange_charge,card_acceptance,1
disposable_card_limits,edit_personal_details,1
disposable_card_limits,card_payment_not_recognised,1
disposable_card_limits,card_linking,1
disposable_card_limits,card_arrival,1
direct_debit_payment_not_recognised,unable_to_verify_identity,1
direct_debit_payment_not_recognised,transfer_fee_charged,1
direct_debit_payment_not_recognised,pending_card_payment,1
direct_debit_payment_not_recognised,extra_charge_on_statement,1
declined_transfer,transfer_into_account,1
declined_transfer,reverted_card_payment?,1
activate_my_card,card_about_to_expire,1
declined_cash_withdrawal,card_swallowed,1
declined_cash_withdrawal,balance_not_updated_after_bank_transfer,1
declined_card_payment,lost_or_stolen_card,1
declined_card_payment,declined_transfer,1
declined_card_payment,card_acceptance,1
country_support,supported_cards_and_currencies,1
country_support,receiving_money,1
country_support,order_physical_card,1
country_support,fiat_currency_support,1
extra_charge_on_statement,transaction_charged_twice,1
extra_charge_on_statement,receiving_money,1
extra_charge_on_statement,direct_debit_payment_not_recognised,1
extra_charge_on_statement,card_payment_not_recognised,1
extra_charge_on_statement,cancel_transfer,1
exchange_via_app,transfer_into_account,1
exchange_via_app,request_refund,1
contactless_not_working,card_payment_fee_charged,1
contactless_not_working,card_acceptance,1
contactless_not_working,apple_pay_or_google_pay,1
contactless_not_working,activate_my_card,1
compromised_card,getting_spare_card,1
card_acceptance,card_payment_fee_charged,1
card_acceptance,card_arrival,1
card_acceptance,activate_my_card,1
card_about_to_expire,getting_spare_card,1
card_about_to_expire,card_payment_fee_charged,1
card_about_to_expire,card_not_working,1
card_about_to_expire,card_delivery_estimate,1
cancel_transfer,verify_source_of_funds,1
cancel_transfer,transfer_not_received_by_recipient,1
declined_transfer,pending_card_payment,1
declined_cash_withdrawal,failed_transfer,1
getting_virtual_card,lost_or_stolen_phone,1
getting_virtual_card,card_linking,1
getting_virtual_card,card_delivery_estimate,1
getting_spare_card,getting_virtual_card,1
get_physical_card,card_arrival,1
get_physical_card,activate_my_card,1
get_disposable_virtual_card,get_physical_card,1
fiat_currency_support,pending_card_payment,1
fiat_currency_support,activate_my_card,1
failed_transfer,transfer_timing,1
failed_transfer,transfer_into_account,1
failed_transfer,pending_transfer,1
extra_charge_on_statement,transfer_timing,1
contactless_not_working,receiving_money,1
contactless_not_working,pending_card_payment,1
contactless_not_working,edit_personal_details,1
compromised_card,card_payment_fee_charged,1
compromised_card,card_acceptance,1
compromised_card,activate_my_card,1
cash_withdrawal_not_recognised,request_refund,1
cash_withdrawal_not_recognised,cash_withdrawal_charge,1
cash_withdrawal_not_recognised,card_payment_not_recognised,1
cash_withdrawal_not_recognised,card_not_working,1
cash_withdrawal_charge,transfer_timing,1
lost_or_stolen_phone,card_not_working,1
lost_or_stolen_card,why_verify_identity,1
lost_or_stolen_card,pin_blocked,1
lost_or_stolen_card,order_physical_card,1
lost_or_stolen_card,getting_spare_card,1
lost_or_stolen_card,card_swallowed,1
lost_or_stolen_card,card_linking,1
lost_or_stolen_card,card_arrival,1
order_physical_card,country_support,1
order_physical_card,card_linking,1
cancel_transfer,pending_transfer,1
cancel_transfer,failed_transfer,1
cancel_transfer,edit_personal_details,1
cancel_transfer,declined_transfer,1
beneficiary_not_allowed,exchange_charge,1
beneficiary_not_allowed,card_swallowed,1
balance_not_updated_after_cheque_or_cash_deposit,wrong_amount_of_cash_received,1
balance_not_updated_after_cheque_or_cash_deposit,verify_source_of_funds,1
balance_not_updated_after_cheque_or_cash_deposit,unable_to_verify_identity,1
lost_or_stolen_phone,transfer_into_account,1
lost_or_stolen_phone,pin_blocked,1
lost_or_stolen_phone,passcode_forgotten,1
compromised_card,edit_personal_details,1
compromised_card,change_pin,1
pin_blocked,lost_or_stolen_card,1
pin_blocked,declined_cash_withdrawal,1
pin_blocked,declined_card_payment,1
pin_blocked,card_swallowed,1
pin_blocked,activate_my_card,1
pending_transfer,pending_card_payment,1
pending_transfer,balance_not_updated_after_bank_transfer,1
pending_top_up,verify_my_identity,1
pending_top_up,top_up_reverted,1
pending_top_up,top_up_failed,1
pending_cash_withdrawal,pending_card_payment,1
pending_cash_withdrawal,cash_withdrawal_not_recognised,1
pending_card_payment,transaction_charged_twice,1
pending_card_payment,declined_card_payment,1
pending_card_payment,card_delivery_estimate,1
passcode_forgotten,lost_or_stolen_card,1
reverted_card_payment?,declined_card_payment,1
reverted_card_payment?,card_not_working,1
reverted_card_payment?,Refund_not_showing_up,1
request_refund,terminate_account,1
request_refund,card_payment_not_recognised,1
request_refund,Refund_not_showing_up,1
receiving_money,verify_source_of_funds,1
receiving_money,transfer_fee_charged,1
receiving_money,top_up_by_cash_or_cheque,1
receiving_money,fiat_currency_support,1
receiving_money,failed_transfer,1
receiving_money,exchange_rate,1
receiving_money,edit_personal_details,1
receiving_money,change_pin,1
receiving_money,card_acceptance,1
pin_blocked,passcode_forgotten,1
card_arrival,pending_card_payment,1
card_arrival,edit_personal_details,1
card_arrival,activate_my_card,1
card_acceptance,visa_or_mastercard,1
card_acceptance,getting_spare_card,1
card_acceptance,compromised_card,1
cash_withdrawal_charge,pending_cash_withdrawal,1
cash_withdrawal_charge,country_support,1
supported_cards_and_currencies,fiat_currency_support,1
supported_cards_and_currencies,exchange_via_app,1
supported_cards_and_currencies,card_payment_not_recognised,1
supported_cards_and_currencies,automatic_top_up,1
reverted_card_payment?,verify_my_identity,1
reverted_card_payment?,request_refund,1
reverted_card_payment?,pending_transfer,1
reverted_card_payment?,pending_card_payment,1
top_up_by_bank_transfer_charge,top_up_by_card_charge,1
top_up_by_bank_transfer_charge,supported_cards_and_currencies,1
top_up_by_bank_transfer_charge,request_refund,1
top_up_by_bank_transfer_charge,pending_transfer,1
top_up_by_bank_transfer_charge,pending_cash_withdrawal,1
top_up_by_bank_transfer_charge,extra_charge_on_statement,1
top_up_by_bank_transfer_charge,edit_personal_details,1
top_up_by_bank_transfer_charge,activate_my_card,1
supported_cards_and_currencies,verify_source_of_funds,1
supported_cards_and_currencies,verify_my_identity,1
supported_cards_and_currencies,topping_up_by_card,1
supported_cards_and_currencies,top_up_by_card_charge,1
supported_cards_and_currencies,getting_spare_card,1
card_delivery_estimate,order_physical_card,1
card_delivery_estimate,lost_or_stolen_card,1
card_delivery_estimate,card_about_to_expire,1
card_payment_wrong_exchange_rate,extra_charge_on_statement,1
card_payment_not_recognised,verify_source_of_funds,1
card_payment_not_recognised,terminate_account,1
card_payment_not_recognised,request_refund,1
card_payment_not_recognised,receiving_money,1
balance_not_updated_after_cheque_or_cash_deposit,transfer_timing,1
balance_not_updated_after_cheque_or_cash_deposit,pending_top_up,1
balance_not_updated_after_cheque_or_cash_deposit,declined_cash_withdrawal,1
balance_not_updated_after_cheque_or_cash_deposit,card_payment_not_recognised,1
balance_not_updated_after_bank_transfer,unable_to_verify_identity,1
balance_not_updated_after_bank_transfer,transfer_into_account,1
balance_not_updated_after_bank_transfer,failed_transfer,1
automatic_top_up,transfer_timing,1
automatic_top_up,top_up_reverted,1
top_up_by_card_charge,top_up_reverted,1
top_up_by_card_charge,supported_cards_and_currencies,1
top_up_reverted,cancel_transfer,1
top_up_reverted,balance_not_updated_after_bank_transfer,1
top_up_limits,top_up_by_cash_or_cheque,1
top_up_limits,request_refund,1
top_up_limits,pending_top_up,1
top_up_limits,activate_my_card,1
top_up_by_cash_or_cheque,why_verify_identity,1
top_up_by_cash_or_cheque,topping_up_by_card,1
top_up_by_cash_or_cheque,pending_card_payment,1
top_up_by_cash_or_cheque,edit_personal_details,1
top_up_by_cash_or_cheque,card_payment_not_recognised,1
card_swallowed,topping_up_by_card,1
card_swallowed,reverted_card_payment?,1
card_swallowed,get_physical_card,1
card_swallowed,card_arrival,1
card_swallowed,cancel_transfer,1
card_payment_fee_charged,order_physical_card,1
card_payment_fee_charged,card_about_to_expire,1
card_not_working,declined_transfer,1
card_not_working,card_payment_not_recognised,1
card_not_working,card_acceptance,1
card_not_working,card_about_to_expire,1
card_linking,passcode_forgotten,1
topping_up_by_card,verify_top_up,1
topping_up_by_card,verify_source_of_funds,1
topping_up_by_card,top_up_by_cash_or_cheque,1
topping_up_by_card,top_up_by_card_charge,1
topping_up_by_card,receiving_money,1
topping_up_by_card,failed_transfer,1
top_up_reverted,topping_up_by_card,1
top_up_reverted,request_refund,1
top_up_reverted,change_pin,1
transfer_into_account,transfer_timing,1
transfer_into_account,transfer_not_received_by_recipient,1
transfer_into_account,top_up_failed,1
transfer_into_account,supported_cards_and_currencies,1
transfer_into_account,pending_transfer,1
transfer_into_account,edit_personal_details,1
transfer_fee_charged,transfer_timing,1
transfer_fee_charged,receiving_money,1
transfer_fee_charged,card_payment_fee_charged,1
transaction_charged_twice,top_up_by_card_charge,1
transaction_charged_twice,reverted_card_payment?,1
transaction_charged_twice,edit_personal_details,1
transaction_charged_twice,declined_card_payment,1
transaction_charged_twice,compromised_card,1
transaction_charged_twice,change_pin,1
card_payment_not_recognised,pending_card_payment,1
age_limit,exchange_via_app,1
atm_support,pending_cash_withdrawal,1
atm_support,edit_personal_details,1
atm_support,country_support,1
atm_support,change_pin,1
atm_support,activate_my_card,1
apple_pay_or_google_pay,verify_top_up,1
apple_pay_or_google_pay,transfer_into_account,1
verify_my_identity,edit_personal_details,1
